Site,Transect,Subsection,Stage,Soil Type,Horizon,Horizon Depth (cm),Rock-adjusted Volume (cm3),Coarse weight (g dry coarse),Soil Wt (g dry soil),Soil Bulk Density (g cm3),Coarse material density (g coarse cm3),Soil C(%),Soil N(%),g dry soil (m-2),Soil C (g C m-2),Coarse C (g C m-2),Soil & Coarse (g C m-2),Soil N (g N m-2),Coarse N (g N m-2),Soil & Coarse (g N m-2),C check,CN
BD69,5,80,Mid,2_MS,2_5-10,5.00,192.42,0.00,209.71,1.090,0.000,2.30,0.13,54491.73,1253.85,0.00,1253.85,72.47,0.00,72.47,1253.85,17.30
BD69,5,80,Mid,2_MS,4_Total,10.00,384.85,0.00,322.92,0.839,0.000,5.81,0.28,83909.07,4876.60,0.00,4876.60,231.92,0.00,231.92,4876.60,21.03
BD69,5,80,Mid,3_Soil,6_Tot OM MS,20.50,969.69,2.23,363.07,,,,,94065.74,8882.39,290.20,9172.59,363.40,1.45,364.85,8882.39,25.14
BD69,5,100,Mid,1_OM,0_Litter,2.00,800.00,,12.85,0.016,,49.38,1.78,321.25,158.63,0.00,158.63,5.71,0.00,5.71,158.63,27.79
BD69,5,100,Mid,1_OM,1_0-5,5.00,192.42,1.89,12.70,0.066,0.010,41.02,2.13,3300.46,1353.85,245.88,1599.73,70.30,1.23,71.53,1353.85,22.36
BD69,5,100,Mid,1_OM,2_5-10,5.00,192.42,0.40,15.55,0.081,0.002,44.34,1.61,4041.36,1791.90,51.47,1843.37,65.15,0.26,65.40,1791.90,28.18
BD69,5,100,Mid,1_OM,3_10+,5.00,192.42,0.20,35.55,0.185,0.001,24.96,1.02,9236.98,2305.74,25.74,2331.47,94.40,0.13,94.53,2305.74,24.66
BD69,5,100,Mid,1_OM,4_Total,15.00,577.27,2.49,63.80,0.111,0.004,32.88,1.39,16578.81,5451.48,323.09,5774.57,229.85,1.62,231.46,5451.48,24.95
BD69,5,100,Mid,1_OM,5_Total OM,17.00,1377.27,2.49,76.65,0.056,0.002,33.20,1.39,16900.06,5610.11,323.09,5933.20,235.56,1.62,237.17,5610.11,25.02
BD69,5,100,Mid,2_MS,1_0-5,5.00,192.42,0.00,104.79,0.545,0.000,12.85,0.64,27228.43,3498.04,0.00,3498.04,173.17,0.00,173.17,3498.04,20.20
BD69,5,100,Mid,2_MS,2_5-10,5.00,192.42,0.00,180.18,0.936,0.000,6.09,0.33,46819.41,2852.24,0.00,2852.24,154.50,0.00,154.50,2852.24,18.46
BD69,5,100,Mid,2_MS,4_Total,10.00,384.85,0.00,284.97,0.740,0.000,8.58,0.44,74047.83,6350.27,0.00,6350.27,327.68,0.00,327.68,6350.27,19.38
BD69,5,100,Mid,3_Soil,6_Tot OM MS,27.00,1762.11,2.49,361.62,,,,,90947.89,11960.39,323.09,12283.48,563.23,1.62,564.85,11960.39,21.75
BD69,6,20,Mid,1_OM,0_Litter,3.50,1400.00,,20.63,0.015,,47.71,1.02,515.75,246.04,0.00,246.04,5.25,0.00,5.25,246.04,46.86
BD69,6,20,Mid,1_OM,1_0-5,2.50,96.21,0.88,21.75,0.226,0.009,35.17,1.54,5651.54,1987.71,113.97,2101.69,87.23,0.57,87.80,1987.71,23.94
BD69,6,20,Mid,1_OM,2_5-10,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
