ecoregion,sitename,prelimID,n_dd,w_dd,slope,aspect,elevation,canopy_typ,topo,moist,severity,ph,sol,ave_orgd,treeden,treeba,seedlingde,burn_year,age,age_ave,age_min,age_max,age_median,age_source,derived_age,decid.bio,decid.dens,D.Index,Class
Ray Mountains,DCY9,DC39,66.168628,-150.20114,1,231,300,Mixed,NA,MESIC,3,0,0,9,0,0,150409.09,2004,Young,20,20,20,20,disturbance,20,48.3552921087101,0.03,1,Decid
Tanana-Kuskokwim Lowlands,DDM1,TKN0126,63.84662,-145.723333,4,324,533,Black Spruce,NA,MESIC-SUBHYGRIC,NA,0,0,NA,52954.55,3716.67,10.11,1930,Mature,135,126,147,130,core,94,0,0,0,Spruce
Tanana-Kuskokwim Lowlands,DDM2,TKN0124,63.89178,-145.74101,0,0,500,Black Spruce,NA,XERIC,NA,0,0,NA,24954.55,3716.67,11.46,1930,Mature,92,86,95,92,core,94,6.535051657450478,0.00166666666666666,0.00295852541714416,Spruce
Tanana-Kuskokwim Lowlands,FP5A,FP5A,64.681479,-148.249062,0,0,133,Black Spruce,NA,SUBXERIC-MESIC,NA,0,0,21.1,5909.09,1283.33,12.15,1930,Mature,NA,NA,NA,NA,disturbance,94,9.240818154890144,0.00166666666666666,0.01054742319688758,Spruce
Tanana-Kuskokwim Lowlands,FP5C,FP5C,64.713614,-148.147263,0,0,135,Birch,NA,SUBXERIC-MESIC,3,0,0,NA,0,0,53227.27,2010,Young,NA,NA,NA,NA,disturbance,14,NA,NA,NA,NA
Yukon-Tanana Uplands,FP5D,FP5D,64.72541,-148.19274,0,0,135,Black Spruce,NA,MESIC,NA,0,0,NA,28636.36,3025,8.58,1930,Mature,NA,NA,NA,NA,disturbance,94,23.38835585587332,0.00583333333333333,0.01839895762886362,Spruce
Tanana-Kuskokwim Lowlands,GRI1,GR-9,63.772116,-145.079202,0,0,552,Black Spruce,Depression,SUBHYGRIC,NA,7.09,50,NA,1866.67,2.71,9954.55,1947,Intermediate,69,38,152,44,core,77,375.9109215017064,0.035,0.2618338222576485,Spruce
Tanana-Kuskokwim Lowlands,GRI2,GR-2,63.787588,-145.055334,1,14,575,Aspen,Flat,MESIC,NA,8.15,10.22,NA,1766.67,23.56,62590.91,1947,Intermediate,44,30,55,45,core,77,11256.937485365394,0.36833333333333335,0.986041399565273,Decid
Tanana-Kuskokwim Lowlands,GRI3,GR-1,63.791346,-145.041859,1,14,504,Aspen,Toe Slope,MESIC,NA,7.45,10.45,NA,2575,27.9,41772.73,1947,Intermediate,48,36,56,50,core,77,11262.933261501024,0.19583333333333333,0.7504376535487036,Decid
Tanana-Kuskokwim Lowlands,GRI4,GR-6,63.793417,-145.054202,1,71,500,Birch,Flat,MESIC,NA,8.1,8.8,NA,5283.33,26.76,9318.18,1947,Intermediate,46,39,52,46,core,77,9585.3580664267,0.31,0.6755002799256262,Decid
