SITE,tree.num_PICMAR,tree.num_BETNEO,tree.num_PICGLA,tree.num_POPBAL,tree.num_POPTRE,tree.num_PICEA,density_LARLAR,density_PICMAR,density_BETNEO,density_PICGLA,density_POPBAL,density_POPTRE,density_PICEA,ba_LARLAR,ba_PICMAR,ba_BETNEO,ba_PICGLA,ba_POPBAL,ba_POPTRE,ba_PICEA,bio_LARLAR,bio_PICMAR,bio_BETNEO,bio_PICGLA,bio_POPBAL,bio_POPTRE,bio_PICEA,decid.dens,conif.dens,decid.ba,conif.ba,decid.bio,conif.bio,rel.conif.dens,rel.conif.bio,rel.decid.dens,rel.decid.bio,D.Index,Class
BFY13,0,82.16666666666667,0,0,0,0,0,0,0.8216666666666667,0,0,0,0,0,0,6.944566225,0,0,0,0,0,0,2079.744224328777,0,0,0,0,0.8216666666666667,0,6.944566225,0,2079.744224328777,0,0,0,1,1,1,Decid
BFY4,0,124.58333333333333,0,0,0.08333333333333333,0,0,0,1.2458333333333333,0,0,8.333333333333334e-4,0,0,0,13.035477233333333,0,0,0.00589125,0,0,0,4047.0039118615755,0,0,1.3382632977345537,0,1.2466666666666666,0,13.041368483333333,0,4048.34217515931,0,0,0,1,1,1,Decid
BFY6,0,16.333333333333332,0,0,0,0,0,0,0.16333333333333333,0,0,0,0,0,0,1.1420711791666667,0,0,0,0,0,0,330.91400092440085,0,0,0,0,0.16333333333333333,0,1.1420711791666667,0,330.91400092440085,0,0,0,1,1,1,Decid
BFY7,1.6666666666666667,0,0,0,0,0,0,0.016666666666666666,0,0,0,0,0,0,0.21813334999999998,0,0,0,0,0,0,59.74438626311847,0,0,0,0,0,0,0.016666666666666666,0,0.21813334999999998,0,59.74438626311847,1,1,0,0,0,Spruce
BFY9,2.1,0,0.4,0,0,0,0,0.021,0,0.004,0,0,0,0,0.648956535,0,0.123676975,0,0,0,0,163.57959405046213,0,32.190109815227075,0,0,0,0,0.025,0,0.7726335099999999,0,195.76970386568922,1,1,0,0,0,Spruce
DCY12,2.6666666666666665,0,0,0,0,0,0,0.02666666666666667,0,0,0,0,0,0,0.5318096833333333,0,0,0,0,0,0,140.06442308045285,0,0,0,0,0,0,0.02666666666666667,0,0.5318096833333333,0,140.06442308045285,1,1,0,0,0,Spruce
DCY13,0,0.25,0,0,1,0,0,0,0.0025,0,0,0.01,0,0,0,0.020108800000000003,0,0,0.0714805,0,0,0,5.8891648372113705,0,0,16.313153757053612,0,0.0125,0,0.0915893,0,22.202318594264984,0,0,0,1,1,1,Decid
DCY15,0,0,0,0,10.833333333333334,0,0,0,0,0,0,0.10833333333333334,0,0,0,0,0,0,0.9286180999999999,0,0,0,0,0,0,219.48159362588856,0,0.10833333333333334,0,0.9286180999999999,0,219.48159362588856,0,0,0,1,1,1,Decid
DCY16,0,0.5833333333333334,0,0,5.833333333333333,0,0,0,0.005833333333333334,0,0,0.058333333333333334,0,0,0,0.06071260416666667,0,0,0.7585573499999999,0,0,0,18.637951926839047,0,0,191.33718918938374,0,0.06416666666666666,0,0.8192699541666666,0,209.97514111622277,0,0,0,1,1,1,Decid
DCY17,0,0,0,3.0833333333333335,48.25,0,0,0,0,0,0.030833333333333334,0.4825,0,0,0,0,0,0.5230055375,3.7198465291666665,0,0,0,0,0,142.00780457127433,861.8795226222745,0,0.5133333333333333,0,4.242852066666667,0,1003.8873271935489,0,0,0,1,1,1,Decid
