ecoregion,sitename,prelimID,n_dd,w_dd,slope,aspect,elevation,canopy_typ,topo,moist,severity,ph,org_depth,treeden,treeba,seedlingde,burn_year,age,age_ave,age_source,class,decid.bio,decid.dens,d.index
Tanana-Kuskokwim Lowlands,GRI5,GR-5,63.795019,-145.076628,1,342,500,aspen,flat,subxeric-mesic,NA,8.21,9.1,1425,21.17,86181.82,1947,intermediate,53,core,decid,9549.422346318304,0.23333333333333336,0.8983832286269646
Tanana-Kuskokwim Lowlands,GRI6,GR-3,63.800401,-145.055548,0,0,495,aspen,flat,mesic,NA,7.45,5.7,3466.67,19.93,59863.64,1947,intermediate,64,core,mixed,7049.517407927587,0.21,0.622084478210704
Tanana-Kuskokwim Lowlands,GRI7,GR-4,63.801791,-145.061443,1,220,485,aspen,flat,subxeric-mesic,NA,7.68,4.1,1575,25.76,18909.09,1947,intermediate,74,core,decid,11532.357602143276,0.25416666666666665,0.9376181190852272
Tanana-Kuskokwim Lowlands,GRM1,TKN0118,63.695772,-144.331784,2,303,448,black spruce,lowland,subxeric-mesic,NA,6.17,31,55227.27,6058.33,14.43,1930,mature,204,core,spruce,0,0,0
Tanana-Kuskokwim Lowlands,GRM2,GR-10,63.787641,-145.063916,0,0,493,black spruce,NA,mesic,NA,0,NA,20272.73,6491.67,37.48,1930,mature,53,core,spruce,0,0,0
Tanana-Kuskokwim Lowlands,GRM3,TKN0120,63.813653,-144.953825,0,0,430,black spruce,lowland,mesic-subhygric,NA,5.83,35,40000,1375,2.35,1930,mature,232,core,spruce,0,0,0
Tanana-Kuskokwim Lowlands,GRM4,TKN0119,63.815131,-144.955467,0,0,429,black spruce,lowland,subxeric-mesic,NA,5.54,21,54454.55,3866.67,10.67,1930,mature,346,core,spruce,43.65908848919431,8.333333333333334e-4,0.00680324417050159
Yukon-Tanana Uplands,GSI1,GS-3,64.80004,-148.41375,3,283,244,black spruce,lowland,mesic,NA,5.99,27.6,5825,9.81,23909.09,1966,intermediate,58,disturbance,spruce,0,0,0
Yukon-Tanana Uplands,GSI2,GS-2,64.80255,-148.42039,3,333,129,black spruce,flat,subxeric-mesic,NA,5.95,79.9,441.67,0.37,10363.64,1966,intermediate,58,disturbance,spruce,0,0,0
Yukon-Tanana Uplands,GSI3,GS-1,64.80951,-148.49298,10,79,210,birch,toe slope,mesic,NA,6.15,8.1,6858.33,15.31,13181.82,1966,intermediate,58,disturbance,spruce,2859.0843042145193,0.12666666666666668,0.26593746437604066
Yukon-Tanana Uplands,GSM1,TKN0131L,64.80258,-148.31676,2,150,180,black spruce,NA,subhygric,NA,0,56,28590.91,2100,3.45,1930,mature,185,colocated,spruce,0,0,0
Yukon-Tanana Uplands,GSM2,TKN0131,64.80334,-148.31574,2,95,163,black spruce,toe slope,subxeric,NA,6,24,18136.36,3191.67,17.28,1930,mature,185,core,spruce,0,0,0
Yukon-Tanana Uplands,GSM3,TKN0040,64.916152,-147.832248,0,0,187,black spruce,valley bottom,subhygric,NA,5,30,10954.55,3450,4.91,1930,mature,190,core,spruce,0,0,0
Yukon-Tanana Uplands,GSM4,TKN0043,64.942214,-148.25307,16,24,497,black spruce,side slope,subxeric-mesic,NA,4.72,20,13409.09,4108.33,9.85,1930,mature,107,core,spruce,79.01787170787735,0.00916666666666666,0.02131032877252123
Yukon-Tanana Uplands,GSM5,TKN0024,64.998563,-147.65685,9,326,431,black spruce,side slope,subxeric,NA,4.83,30,47272.73,2016.67,4.1,1930,mature,184,core,spruce,2.6660669291424184,0.00166666666666666,0.00362727540065777
Yukon-Tanana Uplands,HR1A,HR1A,65.170919,-147.543574,15,325,600,black spruce,NA,mesic,1,0,4.3,0,0,26590.91,1999,young,25,disturbance,NA,NA,NA,NA
Ray Mountains,LGI1,LG-2,65.42936,-148.86419,8,173,290,black spruce,toe slope,mesic,NA,7,23.6,1100,2.35,5363.64,1958,intermediate,66,disturbance,spruce,0,0,0
Ray Mountains,LGI2,LG-3,65.44649,-148.7609,12,144,330,black spruce,toe slope,subxeric,NA,5.03,9.1,1758.33,11.26,3909.09,1958,intermediate,66,disturbance,spruce,1355.0817313880236,0.0575,0.3082030729932448
Yukon-Tanana Uplands,MDI1,MD-5,64.879074,-148.381474,3,69,211,birch,side slope,subxeric-mesic,NA,5.7,11.8,12108.33,29.41,4363.64,1958,intermediate,58,core,mixed,5866.186230060092,0.38166666666666665,0.385309785348059
Yukon-Tanana Uplands,MDI2,MD-7,64.879249,-148.389008,10,68,256,birch,side slope,subxeric,NA,6.25,10.6,9375,18.17,45090.91,1958,intermediate,53,core,mixed,4751.5960438108705,0.48666666666666664,0.512885902664577
Yukon-Tanana Uplands,MDI3,MD-6,64.880388,-148.382724,5,79,205,birch,side slope,subxeric-mesic,NA,5.93,8.5,4258.33,27.8,818.18,1958,intermediate,58,core,decid,15210.096077419,0.3433333333333333,0.7350325999636467
Yukon-Tanana Uplands,MDI4,MD-2,64.882718,-148.355499,7,228,226,hardwood,side slope,subxeric,NA,5.95,5.1,12100,28.1,42454.55,1958,intermediate,53,core,mixed,7775.894795114574,0.5208333333333334,0.4917221507686235
Yukon-Tanana Uplands,MDI5,MD-8,64.882947,-148.398187,10,354,226,black spruce,toe slope,mesic,NA,5.35,46,1908.33,2.21,28363.64,1958,intermediate,71,core,spruce,27.05749330824058,0.00916666666666666,0.02419022884108075
Yukon-Tanana Uplands,MDM1,MD-3,64.871571,-148.37117,3,84,197,black spruce,NA,mesic,NA,0,49.5,77590.91,7991.67,13.93,1930,mature,115,core,spruce,0,0,0
Yukon-Tanana Uplands,NRM1,Nenana Ridge Bottom,64.60724,-148.82573,3,60,197,black spruce,NA,mesic-subhygric,NA,0,174.4,44772.73,5008.33,6.25,1930,mature,NA,disturbance,spruce,0,0,0
Yukon-Tanana Uplands,NRM2,Nenana Ridge,64.68328,-148.55992,0,0,220,black spruce,NA,subhygric,NA,0,33.3,32863.64,983.33,1.33,1930,mature,NA,disturbance,spruce,0,0,0
Tanana-Kuskokwim Lowlands,SL1A,SL1A,64.654214,-148.281215,0,0,131,mixed,NA,mesic-subhygric,1,0,12.5,0,0,32000,2001,young,23,disturbance,mixed,15.326876021363129,0.00625,0.5
Tanana-Kuskokwim Lowlands,SL1B,SL1B,64.648269,-148.286119,0,0,130,black spruce,NA,subhygric,1,0,16.4,0,0,24636.36,2001,young,23,disturbance,NA,NA,NA,NA
Yukon-Tanana Uplands,TRM1,TKN0139,65.25333,-148.13914,5,54,270,black spruce,toe slope,subxeric-mesic,NA,4.71,38,25681.82,3041.67,3.11,1930,mature,112,core,spruce,0,0,0
Yukon-Tanana Uplands,TRM2,Tatalina River 1,65.31219,-148.338,0,0,134,black spruce,NA,subhygric,NA,0,NA,0,33.33,0.04,1930,mature,NA,disturbance,spruce,0,0,0
Yukon-Tanana Uplands,TRM3,Tatalina River 2,65.31458,-148.33536,0,0,127,black spruce,NA,subhygric,NA,0,NA,59772.73,3141.67,5.07,1930,mature,NA,disturbance,spruce,0,0,0
Ray Mountains,TRM4,TKN0137,65.40996,-148.23179,0,0,485,black spruce,summit,subxeric,NA,5.24,24,17136.36,4350,9.34,1930,mature,118,core,spruce,26.01485850627864,0.0025,0.00547344515167122
Yukon-Tanana Uplands,UP4A,TKN0001,64.768106,-148.29868,10,252,497,black spruce,side slope,subxeric,NA,5.65,25,17772.73,7991.67,26.52,1930,mature,111,core,spruce,19.104515016589257,0.00166666666666666,0.00260931076354594
Yukon-Tanana Uplands,UP4B,TKN0103,64.771601,-148.27359,9,20,400,black spruce,side slope,mesic-subhygric,NA,3.95,24,9681.82,3150,17.12,1930,mature,197,core,spruce,0,0,0
Yukon-Tanana Uplands,UP4C,TKN0110,65.153934,-147.491333,5,154,228,black spruce,toe slope,mesic-subhygric,NA,5.04,30,28181.82,958.33,1.16,1930,mature,148,core,spruce,0,0,0
Yukon-Tanana Uplands,UP4D,TKN0134,65.169054,-147.550557,3,79,629,black spruce,summit,subxeric,NA,4.95,17,14363.64,5458.33,21.41,1930,mature,116,core,spruce,155.40470317686868,0.00166666666666666,0.01246825471619647
Yukon-Tanana Uplands,WCM1,Washington Creek 1,65.12465,-147.97308,0,0,225,black spruce,NA,subhygric,NA,0,NA,15227.27,1183.33,1.82,1930,mature,NA,disturbance,spruce,0,0,0
Yukon-Tanana Uplands,WCM2,Washington Creek 3,65.13634,-147.97132,3,80,260,black spruce,NA,mesic-subhygric,NA,0,NA,20090.91,1908.33,3.85,1930,mature,NA,disturbance,spruce,0,0,0
Yukon-Tanana Uplands,WCM3,TKN0015,65.15466,-147.86305,0,0,274,black spruce,valley bottom,subhygric,NA,5.53,17,43409.09,2366.67,6.66,1930,mature,178,core,spruce,0,0,0
Yukon-Tanana Uplands,WCM4,TKN0012,65.167267,-147.89408,1,164,584,black spruce,summit,subxeric,NA,5.24,22,28090.91,9608.33,21.58,1930,mature,243,core,spruce,68.62847655419304,0.00416666666666666,0.00750087029169294
Yukon-Tanana Uplands,WDI1,WD-1,65.116602,-148.080849,3,234,242,black spruce,toe slope,mesic,NA,6,12.8,558.33,0.56,18454.55,1971,intermediate,90,core,spruce,1.3303380878721327,8.333333333333334e-4,0.00370334383591836
Yukon-Tanana Uplands,WDI2,WD-2,65.124643,-148.07587,20,250,335,birch,side slope,subxeric,NA,7.22,6.9,3283.33,15.63,3363.64,1971,intermediate,39,core,decid,6839.002491423807,0.32666666666666666,0.8863811153184601
Yukon-Tanana Uplands,WDI3,WD-3,65.125453,-148.076713,15,250,343,birch,side slope,subxeric,NA,5.87,8.1,2208.33,5.82,3181.82,1971,intermediate,37,core,spruce,1203.9989659433418,0.07666666666666666,0.3235230288341832
Yukon-Tanana Uplands,WDI4,WD-4,65.126346,-148.077367,25,255,344,birch,side slope,subxeric-mesic,NA,6.07,7.2,3016.67,12.54,1954.55,1971,intermediate,39,core,decid,4615.41392863204,0.20166666666666663,0.66056153666731
Yukon-Tanana Uplands,WDI5,WD-6,65.145285,-148.018896,0,158,500,aspen,summit,subxeric,NA,6.38,4,1800,9.58,10909.09,1971,intermediate,64,core,mixed,3963.647707049426,0.14166666666666666,0.568070204752679
Yukon-Tanana Uplands,WDI6,WD-8,65.148679,-148.026427,22,224,520,aspen,side slope,subxeric,NA,5.76,5.1,6383.33,26.37,3863.64,1971,intermediate,46,core,decid,10165.252968099368,0.8400000000000001,0.9728647862730384
Ray Mountains,YRM1,TKN0148,65.56605,-148.92284,7,230,318,black spruce,side slope,subxeric-mesic,NA,6.71,32,20090.91,5050,9.11,1930,mature,119,core,spruce,46.53528775008859,0.00416666666666666,0.01236049941132968
