Whirlpak_A_ID,LOI%
7202,2.057102323
7204,1.976847729
7206,2.112676056
7208,2.038541169
7210,1.891740026
7212,1.871814156
7214,2.070695287
7216,1.996683709
7218,2.135868816
7220,23.6167505
7222,34.06475632
7224,33.89636243
7226,32.04305527
7228,28.51143842
7230,39.03184713
7232,30.25438596
7234,17.59283997
7236,11.75671853
7238,9.153158937
7240,7.997255068
7242,10.44466734
7244,10.20214782
7246,6.372165754
7248,11.65001921
7250,4.31251002
7252,4.881936246
7254,5.331850204
7256,3.337255321
7258,2.516733601
7260,2.82824003
7262,3.805060918
7264,5.550991065
7266,6.22463474
7268,4.669570512
7270,2.666408106
7272,2.436149312
7274,2.273433454
7276,2.583539604
7278,2.955528957
7280,3.423040604
7282,3.614137656
7284,3.138135962
7286,1.080326093
7288,2.965322877
7290,2.917341977
7292,2.84081067
8042,60.2818
8044,68.551
8046,75.0019
8048,78.2739
8050,82.2002
8052,65.8587
8054,64.83034321
8056,66.91405534
8058,34.42843572
8060,33.14366999
8062,12.47308934
8064,9.383990856
8066,7.659466328
8068,7.8502353
8070,8.6551
8072,8.5937
8074,8.8253
8984,95.32952776
8986,92.67411301
8988,95.22147065
8990,94.88491049
8992,92.60394712
8994,94.27787162
8996,95.12667136
8998,95.35362783
9000,83.7401524
9002,37.85037406
9004,19.78355416
9006,89.7515528
9008,89.80470043
9010,81.94967307
9012,86.17886179
9014,95.4333644
9016,57.13031389
9018,22.00068219
9020,12.39986649
9022,5.392673607
9024,6.49460905
9026,6.318244987
9028,5.9357022
9030,95.50281074
9032,91.2604193
9034,92.32597623
9036,94.03119376
9038,95.95539281
9040,93.40087623
9042,93.50021035
9044,87.55132512
9046,41.51503052
9048,13.63007471
9050,12.51854915
9052,95.16548903
9054,92.22846442
9056,86.58679135
9058,47.91356837
9060,16.73408559
9062,10.6135182
9064,7.371078955
9066,9.683339024
9068,91.64364641
9070,92.20930233
9072,85.29795563
9074,30.88028499
9076,13.11703068
9078,9.865088253
9080,4.517686652
9082,79.30389222
9084,86.81006494
9086,8.064906757
9088,5.840198245
9090,4.27304648
9092,52.41958042
9094,38.54194586
9096,19.95945261
9098,12.37832149
9100,14.40893781
9102,17.85300447
9104,25.27742405
9106,23.90083048
9108,78.01691007
9120,71.3804046
9122,49.79510596
9124,19.40959126
9126,4.568780518
9128,3.825594285
9130,4.062695115
9132,3.851307643
9134,3.968433487
9136,71.58410452
9138,25.49310997
9140,7.781426747
9142,26.74668928
9144,11.1567077
9146,12.06050206
9148,6.635977874
9150,5.999584187
9152,3.499455338
9154,3.61564158
9168,84.17034272
9170,30.61139028
9172,5.537687037
9174,4.861466981
9176,4.146195724
9178,3.540525222
9192,88.72915469
9194,95.33932952
9196,81.25701459
9198,92.39856189
9200,86.8180008
9202,75.22015155
9204,38.69808729
9206,16.02568346
9208,11.94375925
9210,11.56927887
9212,81.95302843
9214,86.44912758
