Date,Fire Name,Site Name,Observers,Weather,Cohort #,Species,Tree #,Ht of Core (cm),DCH (cm),DBH (cm),Cookie/Core?,Condition of Core,Fire Scar?,Age,Additional Notes,,,,,,,,,,
8/17/11,Big Denver,BD-10,BC,partly sunny,4,CBSNBC,2,20,7.9,5.9,cookie,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-11,BC,sunny,1,POTR,1,14,12,10.2,core,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-11,BC,sunny,1,POTR,2,14,11.4,9.7,core,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-11,BC,sunny,1,POTR,3,16,13,10.4,core,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-11,BC,sunny,1,POTR,4,18,14,10.7,core,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-11,BC,sunny,1,POTR,5,20,14.2,11.8,core,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-11,BC,sunny,2,BENE,1,10,7.1,4.7,core,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-11,BC,sunny,2,BENE,2,16,13.8,8.9,core,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-11,BC,sunny,2,BENE,3,15,11.5,8.5,core,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-11,BC,sunny,2,BENE,4,12,13.2,8,core,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-11,BC,sunny,2,BENE,5,12,13.5,8.9,core,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-11,BC,sunny,3,PIMA,1,16,2.7,1.3,?,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-11,BC,sunny,3,PIMA,2,15,3.7,1.4,?,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-11,BC,sunny,3,PIMA,3,12,2.4,1.1,?,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-11,BC,sunny,3,PIMA,4,12,4.4,2.2,?,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-11,BC,sunny,3,PIMA,5,15,3.8,1.9,?,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-2,BC,partly sunny,1,BEPA,1,20,9.8,7.2,core,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-2,BC,partly sunny,1,BEPA,2,18,9.5,6.5,core,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-2,BC,partly sunny,1,BEPA,3,20,12.7,8.2,core,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-2,BC,partly sunny,1,BEPA,4,20,10.5,7.3,core,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-2,BC,partly sunny,1,BEPA,5,18,12.9,8.7,core,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-2,BC,partly sunny,2,PIMA,1,13,2.3,<DBH,cookie,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-2,BC,partly sunny,2,PIMA,2,13,2.3,<DBH,cookie,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-2,BC,partly sunny,2,PIMA,3,13,1.5,<DBH,cookie,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-2,BC,partly sunny,2,PIMA,4,13,1.5,<DBH,cookie,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-2,BC,partly sunny,2,PIMA,5,13,1.2,<DBH,cookie,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-2,BC,partly sunny,3,ALNVER,1,20,7.8,5.2,core,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-2,BC,partly sunny,4,POTR,1,20,14.9,11.5,core,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-2,BC,partly sunny,4,POTR,2,20,9.4,7.7,core,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-2,BC,partly sunny,4,POTR,3,19,8.8,7.6,core,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-2,BC,partly sunny,4,POTR,4,18,7.8,7.3,core,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-2,BC,partly sunny,4,POTR,5,20,11.2,9.6,core,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-2,BC,partly sunny,5,PIMA,1,60,15.7,20,core,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-2,BC,partly sunny,5,POTR,2,140,24.2,24.2,core,rotten- growth since fire!,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-2,BC,partly sunny,5,PIMA,3,47,17.1,15.8,core,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-2,BC,partly sunny,5,PIMA,4,33,20.6,17.2,core,good,no,,,,,,,,,,,,
8/15/11,Big Denver,BD-3,CN,very nice,1,BENE,1,9.3,12.9,11,core,good,no,,,,,,,,,,,,
8/15/11,Big Denver,BD-3,CN,very nice,1,BENE,2,13,10.3,7.3,core,good,no,,,,,,,,,,,,
8/15/11,Big Denver,BD-3,CN,very nice,1,BENE,3,9.1,9.5,6.4,core,some rot at pith,no,,,,,,,,,,,,
8/15/11,Big Denver,BD-3,CN,very nice,1,BENE,4,11,6,4.5,core,good,no,,,,,,,,,,,,
8/15/11,Big Denver,BD-3,CN,very nice,1,BENE,5,11.1,11,8.1,core,good,no,,,,,,,,,,,,
8/15/11,Big Denver,BD-3,CN,very nice,2,POTR,1,13.5,13.8,9.2,core,good,no,,,,,,,,,,,,
8/15/11,Big Denver,BD-3,CN,very nice,2,POTR,2,10.2,6.5,5.9,core,good,no,,,,,,,,,,,,
8/15/11,Big Denver,BD-3,CN,very nice,2,POTR,3,10.3,7.1,6.9,core,good,no,,,,,,,,,,,,
8/15/11,Big Denver,BD-3,CN,very nice,2,POTR,4,10,9,7,core,some rot at pith,no,,,,,,,,,,,,
8/15/11,Big Denver,BD-3,CN,very nice,2,POTR,5,7,7,6,core,rot in pith,no,,,,,,,,,,,,
8/15/11,Big Denver,BD-3,CN,very nice,3,PICEASP,1,10.3,4.4,3.4,core,good,no,,PICGLA,,,,,,,,,,
8/15/11,Big Denver,BD-3,CN,very nice,3,PICEASP,2,8,5.5,4.7,core,good,no,,PICGLA,,,,,,,,,,
8/15/11,Big Denver,BD-3,CN,very nice,3,PICEASP,3,8,4.3,3.4,core,good,no,,PICMAR,,,,,,,,,,
8/15/11,Big Denver,BD-3,CN,very nice,3,PICEASP,4,7.5,6.2,4,core,good,no,,PICMAR,,,,,,,,,,
8/15/11,Big Denver,BD-3,CN,very nice,3,PICEASP,5,11,5,3.9,core,good,no,,PICMAR,,,,,,,,,,
8/15/11,Big Denver,BD-3,CN,very nice,4,PICEASP,1,5,3,<DBH,cookie,good,no,,PICMAR,,,,,,,,,,
8/15/11,Big Denver,BD-3,CN,very nice,4,PICEASP,2,5,2.7,<DBH,cookie,good,no,,PICMAR,,,,,,,,,,
8/15/11,Big Denver,BD-3,CN,very nice,4,PICEASP,3,5,2.2,<DBH,cookie,good,no,,PICGLA,,,,,,,,,,
8/15/11,Big Denver,BD-3,CN,very nice,4,PICEASP,4,5,2.2,<DBH,cookie,good,no,,PICMAR,,,,,,,,,,
8/15/11,Big Denver,BD-3,CN,very nice,4,PICEASP,5,5,2.5,<DBH,cookie,good,no,,PICMAR,,,,,,,,,,
8/18/11,Big Denver,BD-4,BC,sunny,1,PIMA,1,15,10,6,core,good,no,,,,,,,,,,,,
8/18/11,Big Denver,BD-4,BC,sunny,1,PIMA,2,15,9.7,5.3,core,good,no,,,,,,,,,,,,
8/18/11,Big Denver,BD-4,BC,sunny,1,PIMA,3,15,7.2,4.3,core,good,no,,,,,,,,,,,,
8/18/11,Big Denver,BD-4,BC,sunny,1,PIMA,4,20,10.1,7.5,core,good,no,,,,,,,,,,,,
8/18/11,Big Denver,BD-4,BC,sunny,1,PIMA,5,25,7.7,5.7,core,good,no,,,,,,,,,,,,
8/18/11,Big Denver,BD-4,BC,sunny,2,BENE,1,20,13.2,7.6,core,light rot,no,,,,,,,,,,,,
8/18/11,Big Denver,BD-4,BC,sunny,2,BENE,2,15,6.2,3.7,core,good,no,,heavily browsed,,,,,,,,,,
8/18/11,Big Denver,BD-4,BC,sunny,2,BENE,3,20,10,5.4,core,good,no,,,,,,,,,,,,
8/18/11,Big Denver,BD-4,BC,sunny,2,BENE,4,15,9.6,4.6,core,good,no,,,,,,,,,,,,
8/18/11,Big Denver,BD-4,BC,sunny,2,BENE,5,20,10.1,7.2,core,good,no,,,,,,,,,,,,
8/18/11,Big Denver,BD-4,BC,sunny,3,PIMA,1,30,1.6,<DBH,cookie,good,no,,,,,,,,,,,,
8/18/11,Big Denver,BD-4,BC,sunny,3,PIMA,2,20,3.5,<DBH,cookie,good,no,,,,,,,,,,,,
8/18/11,Big Denver,BD-4,BC,sunny,3,PIMA,3,20,2.2,0.2,cookie,good,no,,,,,,,,,,,,
8/18/11,Big Denver,BD-4,BC,sunny,3,PIMA,4,20,1.4,<DBH,cookie,good,no,,,,,,,,,,,,
8/18/11,Big Denver,BD-4,BC,sunny,3,PIMA,5,25,1.8,<DBH,cookie,good,no,,,,,,,,,,,,
8/18/11,Big Denver,BD-4,BC,sunny,4,LALA,1,20,10,7.6,core,good,no,,,,,,,,,,,,
8/18/11,Big Denver,BD-4,BC,sunny,4,LALA,2,20,7.6,5.7,core,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-5,BC,sunny,1,PIMA,1,30,6.6,4.3,core,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-5,BC,sunny,1,PIMA,2,25,4.7,3,core,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-5,BC,sunny,1,PIMA,3,25,5.9,4.1,core,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-5,BC,sunny,1,PIMA,4,25,8.7,6.1,core,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-5,BC,sunny,1,PIMA,5,25,12.8,8,core,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-5,BC,sunny,2,PIMA,1,25,2.3,<DBH,cookie,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-5,BC,sunny,2,PIMA,2,25,2.2,<DBH,cookie,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-5,BC,sunny,2,PIMA,3,25,2.2,<DBH,cookie,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-5,BC,sunny,2,PIMA,4,25,1.8,<DBH,cookie,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-5,BC,sunny,2,PIMA,5,25,1.6,<DBH,cookie,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-5,BC,sunny,3,BENE,1,35,1.6,<DBH,cookie,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-5,BC,sunny,3,BENE,2,45,1.9,<DBH,cookie,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-5,BC,sunny,3,BENE,3,35,1.4,<DBH,cookie,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-5,BC,sunny,3,BENE,4,35,1.4,0.4,cookie,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-5,BC,sunny,3,BENE,5,45,1.7,0.6,cookie,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-5,BC,sunny,4,CBSNBC,1,45,11.2,8.9,core,rough! Ants,no,,6m tall,,,,,,,,,,
8/16/11,Big Denver,BD-5,BC,sunny,4,CBSNBC,2,50,9.2,7,core,good,no,,6m tall,,,,,,,,,,
8/16/11,Big Denver,BD-5,BC,sunny,4,CBSNBC,3,35,4,2.8,core,good,no,,3m tall,,,,,,,,,,
8/16/11,Big Denver,BD-5,BC,sunny,4,CBSNBC,4,40,4.4,3.4,core,good,no,,3m tall,,,,,,,,,,
8/16/11,Big Denver,BD-5,BC,sunny,4,CBSNBC,5,35,2.4,1.1,core,good,no,,2m tall,,,,,,,,,,
8/17/11,Big Denver,BD-6,BC,sunny,1,BENE,1,20,18.2,12.7,core,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-6,BC,sunny,1,BENE,2,25,31,21.1,core,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-6,BC,sunny,1,BENE,3,20,16.7,11.2,core,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-6,BC,sunny,1,BENE,4,25,22,15.7,core,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-6,BC,sunny,1,BENE,5,15,16.6,11,core,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-6,BC,sunny,2,POTR,1,20,18.6,13.6,core,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-6,BC,sunny,2,POTR,2,20,13.6,11.2,core,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-6,BC,sunny,2,POTR,3,20,16.4,13.8,core,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-6,BC,sunny,2,POTR,4,15,15.5,12.3,core,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-6,BC,sunny,2,POTR,5,15,14.7,12.2,core,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-6,BC,sunny,3,PIMA,1,15,10.9,7.7,core,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-6,BC,sunny,3,PIMA,2,15,10.9,8.8,core,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-6,BC,sunny,3,PIMA,3,15,9.6,6.9,core,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-6,BC,sunny,3,PIMA,4,15,8.3,6.6,core,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-6,BC,sunny,3,PIMA,5,15,10.7,7.6,core,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-6,BC,sunny,4,PICEASP,1,15,1.3,<DBH,cookie,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-6,BC,sunny,4,PICEASP,2,15,1.1,<DBH,cookie,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-6,BC,sunny,4,PICEASP,3,15,1.8,<DBH,cookie,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-6,BC,sunny,4,PICEASP,4,15,2.2,<DBH,cookie,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-6,BC,sunny,4,PICEASP,5,15,2.3,<DBH,cookie,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-7,BC,sunny,1,POTR,1,15,7.3,6.2,core,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-7,BC,sunny,1,POTR,2,15,10.1,7.7,core,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-7,BC,sunny,1,POTR,3,15,7.7,6.7,core,light rot,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-7,BC,sunny,1,POTR,4,15,11,8.4,core,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-7,BC,sunny,1,POTR,5,13,9.5,7.5,core,rot but can see rings,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-7,BC,sunny,2,PIMA,1,13,5.6,3.6,core,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-7,BC,sunny,2,PIMA,2,13,5.7,4,core,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-7,BC,sunny,2,PIMA,3,13,7.8,4.7,core,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-7,BC,sunny,2,PIMA,4,13,5.1,2.8,core,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-7,BC,sunny,2,PIMA,5,10,9.3,5.8,core,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-7,BC,sunny,3,PIMA,1,15,2.6,<DBH,cookie,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-7,BC,sunny,3,PIMA,2,15,2.9,<DBH,cookie,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-7,BC,sunny,3,PIMA,3,9,2.1,<DBH,cookie,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-7,BC,sunny,3,PIMA,4,10,2.1,<DBH,cookie,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-7,BC,sunny,3,PIMA,5,10,2.3,<DBH,cookie,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-7,BC,sunny,4,CBSNBC,1,15,10.5,7.8,core,good,no,,9m tall,,,,,,,,,,
8/16/11,Big Denver,BD-7,BC,sunny,4,CBSNBC,2,15,10.6,9.3,core,good,no,,9m tall,,,,,,,,,,
8/16/11,Big Denver,BD-7,BC,sunny,4,CBSNBC,3,15,3,1,core,good,no,,3m tall,,,,,,,,,,
8/16/11,Big Denver,BD-7,BC,sunny,4,CBSNBC,4,15,1,1.9,core,good,no,,3m tall,,,,,,,,,,
8/17/11,Big Denver,BD-8,BC,sunny &raining,1,PIMA,1,40,8.1,5.9,core,good,no,,"one tree core not labeled completely, tree #?",,,,,,,,,,
8/17/11,Big Denver,BD-8,BC,sunny &raining,1,PIMA,2,40,5.7,4,core,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-8,BC,sunny &raining,1,PIMA,3,40,8.7,5.1,core,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-8,BC,sunny &raining,1,PIMA,4,40,7.9,4.6,core,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-8,BC,sunny &raining,1,PIMA,5,40,8.2,5.6,core,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-8,BC,sunny &raining,2,PIMA,1,30+,?,<DBH,cookie,good,no,,need to measure DCH,,,,,,,,,,
8/17/11,Big Denver,BD-8,BC,sunny &raining,2,PIMA,2,30+,?,<DBH,cookie,good,no,,need to measure DCH,,,,,,,,,,
8/17/11,Big Denver,BD-8,BC,sunny &raining,2,PIMA,3,30+,?,<DBH,cookie,good,no,,need to measure DCH,,,,,,,,,,
8/17/11,Big Denver,BD-8,BC,sunny &raining,2,PIMA,4,30+,?,<DBH,cookie,good,no,,need to measure DCH,,,,,,,,,,
8/17/11,Big Denver,BD-8,BC,sunny &raining,2,PIMA,5,30+,?,<DBH,cookie,good,no,,need to measure DCH,,,,,,,,,,
8/17/11,Big Denver,BD-8,BC,sunny &raining,3,CBSNBC,1,30+,?,4,cookie,good,no,,not sure if there are actually 5 cookies….need to measure DCH,,,,,,,,,,
8/17/11,Big Denver,BD-8,BC,sunny &raining,3,CBSNBC,2,30+,?,4,cookie,good,no,,not sure if there are actually 5 cookies….need to measure DCH,,,,,,,,,,
8/17/11,Big Denver,BD-8,BC,sunny &raining,3,CBSNBC,3,30+,?,4,cookie,good,no,,not sure if there are actually 5 cookies….need to measure DCH,,,,,,,,,,
8/17/11,Big Denver,BD-8,BC,sunny &raining,3,CBSNBC,4,30+,?,4,cookie,good,no,,not sure if there are actually 5 cookies….need to measure DCH,,,,,,,,,,
8/17/11,Big Denver,BD-8,BC,sunny &raining,3,CBSNBC,5,30+,?,4,cookie,good,no,,not sure if there are actually 5 cookies….need to measure DCH,,,,,,,,,,
8/17/11,Big Denver,BD-9,BC,partly sunny,1,POTR,1,10,9.3,7.2,core,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-9,BC,partly sunny,1,POTR,2,10,6.4,5.2,core,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-9,BC,partly sunny,1,POTR,3,,12.4,9.9,core,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-9,BC,partly sunny,1,POTR,4,,8.6,7.8,core,bit of rot,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-9,BC,partly sunny,1,POTR,5,,10.3,7.5,core,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-9,BC,partly sunny,2,PIMA,1,8,7.2,5,?,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-9,BC,partly sunny,2,PIMA,2,12,12.4,8.1,?,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-9,BC,partly sunny,2,PIMA,3,7,7.3,5.3,?,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-9,BC,partly sunny,2,PIMA,4,9,7.4,5.4,?,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-9,BC,partly sunny,2,PIMA,5,10,8.1,5.6,?,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-9,BC,partly sunny,3,PIMA,1,8,3.2,1.1,core,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-9,BC,partly sunny,3,PIMA,2,8,2.1,1,core,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-9,BC,partly sunny,3,PIMA,3,8,2.4,<DBH,core,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-9,BC,partly sunny,3,PIMA,4,10,2.8,1,core,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-9,BC,partly sunny,3,PIMA,5,8,2.3,<DBH,core,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-9,BC,partly sunny,4,CBSNBC,1,10,7.9,5.3,core,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-9,BC,partly sunny,4,CBSNBC,2,13,9.1,<DBH,core,good,no,,burned above DBH,,,,,,,,,,
8/17/11,Big Denver,BD-9,BC,partly sunny,4,CBSNBC,3,10,5.5,3.1,core,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-9,BC,partly sunny,4,CBSNBC,4,10,8,5.1,core,good,no,,,,,,,,,,,,
8/31/11,Gerstle River,GR-1,BC,overcast,1,POTR,1,20,17,12.6,core,rotten center,no,,,,,,,,,,,,
8/31/11,Gerstle River,GR-1,BC,overcast,1,POTR,2,30,18.4,15.3,core,rotten center,no,,,,,,,,,,,,
8/31/11,Gerstle River,GR-1,BC,overcast,1,POTR,3,25,20.9,18.5,core,good,no,,,,,,,,,,,,
8/31/11,Gerstle River,GR-1,BC,overcast,1,POTR,4,30,27,21.9,core,good,no,,,,,,,,,,,,
8/31/11,Gerstle River,GR-1,BC,overcast,1,POTR,5,30,26.5,20.3,core,good,no,,,,,,,,,,,,
8/31/11,Gerstle River,GR-1,BC,overcast,2,BENE,1,30,29.8,22.3,core,good,no,,,,,,,,,,,,
8/31/11,Gerstle River,GR-1,BC,overcast,2,BENE,2,30,29.2,21.1,core,good,no,,,,,,,,,,,,
8/31/11,Gerstle River,GR-1,BC,overcast,2,BENE,3,50,41,28.8,core,good,no,,,,,,,,,,,,
8/31/11,Gerstle River,GR-1,BC,overcast,2,BENE,4,50,19.2,15.8,core,good,no,,,,,,,,,,,,
8/31/11,Gerstle River,GR-1,BC,overcast,2,BENE,5,50,34.5,23.1,core,good,no,,,,,,,,,,,,
8/31/11,Gerstle River,GR-1,BC,overcast,3,PIMA,1,20,16.4,12,core,good,no,,,,,,,,,,,,
8/31/11,Gerstle River,GR-1,BC,overcast,3,PIMA,2,20,9.3,6.6,core,good,no,,,,,,,,,,,,
8/31/11,Gerstle River,GR-1,BC,overcast,3,PIMA,3,20,17,12.3,core,good,no,,,,,,,,,,,,
8/31/11,Gerstle River,GR-1,BC,overcast,3,PIMA,4,20,11.2,8.7,core,good,no,,,,,,,,,,,,
8/31/11,Gerstle River,GR-1,BC,overcast,3,PIMA,5,20,13.2,9.9,core,good,no,,,,,,,,,,,,
8/31/11,Gerstle River,GR-1,BC,overcast,4,PIMA,1,15,1.5,<DBH,cookie,good,no,,,,,,,,,,,,
