burn,site,type,moist.class,sev.class,moist.2008,TDR.2006,TDR.2008,TDR.2011,elev,Lat(N),Lon(W),slope.deg,aspect,pH,%sand,%silt,%clay,text.class,slope.pos,Burn.date,Burn.date.julian,NBR,soil.sev,soil.sev.rank,mortality (%),tree.sev.rank,%Can.cons,%Standing_BA,%Standing_Num,last.fire,oldest.tree,recruit.type,CBI.total,CBI.Under,CBI.Over,CBI.substrate,Resid.org,PreFireOrg,%OrgLoss,%org<3cm,org.cov,moss.cov,dmoss.cov,post.SON,post.SOC,BS.dens,BS.ba,TA.dens,TA.ba,PB.dens,PB.ba,BS.ntree,BS.nstand,PB.ntree,PB.nstand,TA.ntree,TA.nstand,Dec.nstand,WS.ntree,WS.nstand
BF,67,ext,NA,NA,3,10.3,25.8,11,520,65.29,146.73,14,355,3.9,50,44.8,5.2,4,1,23-Jun-04,175,-0.121,low,1,70,1,0.2,1,0.71,67,67,2,1.58,1.4,1.96,0.7,12.8,26.5,51.8,0,28,2,45,NA,NA,0.88,8.6,0,0,0,0,0,0,1,2,2,2,2,7,7
BF,68,ext,NA,NA,2,14.6,13.2,6.9,510,65.28,146.74,8,320,3.9,58,37.8,4.2,4,1,23-Jun-04,175,-0.267,low,1,100,4,88.6,1,1,73,73,2,1.98,1.56,2.88,1.2,11,20.9,45.1,0,21,2,71,NA,NA,0.3,4.9,0.016666667,2.714336053,0,0,5,5,3,6,2,6,6,7,7
BF,69,ext,NA,NA,3,13.8,24.6,12.1,490,65.28,146.74,9,295,3.9,44,48.8,7.2,4,1,23-Jun-04,175,-0.312,low,1,100,5,88.5,1,1,69,69,2,1.8,1.41,2.88,0.7,18.5,23.3,49.5,0,15,0,75,NA,NA,0.55,9.5,0,0,0,0,5,5,3,5,1,5,5,7,7
BF,70,ext,NA,NA,2,24,16.2,22.5,500,65.12,147.43,7,341,3.8,19.2,69.6,11.2,2,0,1-Jul-04,183,-0.282,mod-low,2,100,4,51.5,0.97,0.89,87,87,2,2.25,2,2.54,1,10.5,26.7,64.6,5,39,10,41,NA,NA,0.77,9.7,0,0,0,0,5,5,5,5,5,5,5,7,7
BF,71,ext,NA,NA,2,30,27,38.2,500,65.12,147.43,4,55,4.1,15.2,75.6,9.2,3,0,1-Jul-04,183,-0.36,mod-low,2,100,5,86.3,0.94,0.76,90,90,2.1,2.29,2.14,2.66,1.35,7,20.9,70.7,0,38,13,40,NA,NA,0.97,6.4,0,0,0,0,5,5,5,5,5,5,5,7,7
BF,72,ext,NA,NA,2,29.1,19.4,25.4,510,65.12,147.43,3,139,4,17.2,75.6,7.2,3,0,1-Jul-04,183,-0.387,moderate,3,100,5,82.4,0.71,0.63,90,90,2.1,2.61,2.45,2.86,2.15,6.2,22,83.4,41,29,26,30,NA,NA,0.65,9.5,0,0,0.016666667,0.81694499,5,5,5,5,5,5,5,7,7
BF,73,ext,NA,NA,3,27.8,40.6,24.3,445,65.12,147.45,11,347,3.7,41.2,52.6,6.2,3,0,1-Jul-04,183,-0.244,mod-low,2,100,2,44,0.73,0.76,92,92,2.1,2.31,2.26,2.42,1.8,6.7,25.3,74.4,14,25,17,49,NA,NA,0.97,6.9,0,0,0.016666667,0.41050144,5,5,4,4,3,3,3,7,7
BF,74,ext,NA,NA,2,14.5,NA,13.3,400,65.12,147.47,9,335,3.5,42.2,46.6,11.2,3,0,1-Jul-04,183,-0.17,moderate,3,100,2,49.8,1,1,79,79,3,2.29,2.2,2.42,1.5,6.4,20,69.4,36,29,17,44,NA,NA,0.37,3.1,0.166666667,16.46678879,0.033333333,16.52608635,3,3,1,2,3,3,2,7,7
BF,75,ext,NA,NA,2,13.7,8.4,16.2,265,65.12,147.47,12,331,4,NA,NA,NA,2,1,1-Jul-04,183,-0.214,moderate,3,100,1,33.1,0.95,0.83,79,181,3,2.27,2.28,2.27,2.1,9.7,28.9,74.9,18,25,23,35,NA,NA,0.38,13.4,0,0,0,0,2,2,2,2,3,3,2,6,6
BF,76,int,dry,high,2,12.1,16.4,8.7,255,65.12,147.47,12,324,3.6,61.2,33.6,5.2,1,2,1-Jul-04,183,-0.181,high,5,100,1,27.8,1,0.91,87,196,3,2.45,2.67,2.2,2.75,3.8,21.9,74.2,64,32,35,3,0.049,1.55,0.09,2.2,0,0,0.008333333,0.121016767,1,2,0,2,1,2,2,6,6
BF,77,ext,NA,NA,4,28.6,NA,26,205,65.13,147.47,6,267,3.7,53.2,42.6,4.2,3,3,1-Jul-04,183,-0.025,mod-low,2,99,1,33.9,1,0.98,76,200,3,2,1.99,2.02,1.1,11.7,20.5,71.8,36,40,13,25,NA,NA,0.93,6.6,0,0,0,0,1,1,2,2,1,2,2,5,5
BF,78,int,moist,high,6,51,55,47.4,240,65.15,147.48,4,258,4.8,13.4,79.2,7.4,3,2,22-Jul-04,204,-0.228,moderate,3,95,1,70.7,0.01,0.48,94,94,2.1,2.23,2.23,NA,2.63,14.2,24.4,49.4,10,42,28,17,0.23,5.15,0.26,3.8,0,0,0,0,1,1,5,5,1,5,5,2,5
BF,79,int,moist,high,3,38.5,40.2,17.3,250,65.15,147.48,12,269,4.8,NA,NA,NA,3,2,22-Jul-04,204,-0.239,high,5,100,2,58.6,0,0,96,176,3,2.82,2.87,2.74,2.93,1.3,14.1,82.1,84,13,85,0,0.017,0.67,0.95,8.4,0,0,0,0,0,0,0,0,3,7,0,3,NA
BF,80,ext,NA,NA,2,21.5,23.8,8.7,270,65.15,147.47,10,341,3.6,42,53.4,4.6,2,1,22-Jul-04,204,-0.323,mod-high,4,100,3,68.3,0.23,0.5,84,84,2.1,2.58,2.63,2.48,2.35,4.6,22,82.6,64,41,35,10,NA,NA,0.7,5.8,0,0,0,0,2,2,2,3,2,3,3,2,3
BF,81,int,dry,high,3,48.5,46,23.1,260,65.15,147.47,9,272,4.9,50.8,42,7.2,3,1,22-Jul-04,204,-0.296,mod-high,4,100,4,67.9,0.29,0.34,176,176,1,2.73,2.84,2.58,2.8,7.5,27.1,74.4,36,33,55,10,0.174,5.26,0.77,3.2,0,0,0.008333333,0,3,3,3,3,2,2,2,3,4
BF,82,ext,NA,NA,2,12.7,15.8,5.8,260,65.15,147.47,13,280,3.5,60.8,31,8.2,2,1,22-Jul-04,204,-0.273,mod-high,4,100,3,69,0.27,0.25,185,185,1,2.64,2.87,2.32,2.85,5.8,35,83.8,64,28,26,12,NA,NA,0.48,10.9,0,0,0,0,2,2,2,2,2,2,2,2,2
BF,83,ext,NA,NA,2,7.7,10,5.8,260,65.15,147.47,15,260,6.4,10.4,75.2,14.4,4,0,22-Jul-04,204,-0.319,moderate,3,100,4,79,1,1,80,80,2.1,2.45,2.25,2.78,2,3.4,21.2,85.3,64,45,21,23,NA,NA,0.15,14.3,0.05,9.408415499,0.033333333,-5.219625294,2,2,2,2,2,3,2,2,2
BF,84,int,moist,low,5,57.3,46.2,61.9,240,65.15,147.48,4,258,4.8,20.8,74.4,4.8,5,2,22-Jul-04,204,-0.239,low,1,100,1,44,0.97,0.89,94,94,2,1.94,1.79,2.23,1.23,16.9,30.1,50.6,0,70,12,12,0.161,4.97,0.6,3.7,0,0,0,0,1,1,4,4,1,2,2,2,5
BF,85,ext,NA,NA,3,7.5,NA,9.2,250,65.14,147.47,6,355,3.8,36.8,52.4,10.8,3,1,22-Jul-04,204,-0.354,moderate,3,100,4,81.1,1,1,82,82,2.1,2.27,1.98,2.86,1.93,2.5,19.4,93.3,77,43,17,18,NA,NA,0.23,21.9,0.05,0.245436926,0.033333333,1.9671606,2,3,2,2,3,3,2,2,4
BF,86,int,dry,low,3,25.5,NA,22,250,65.14,147.46,5,352,4.7,32.8,50.4,16.8,3,1,22-Jul-04,204,-0.321,mod-low,2,100,5,84.7,0.61,0.43,87,87,2,2.54,2.34,2.82,1.35,4.8,23.5,81.2,36,47,52,0,0.111,3.73,1.21,10.4,0,0,0.008333333,0,3,3,3,3,2,2,2,3,3
BF,87,int,dry,high,2,12.7,NA,13.3,235,65.14,147.47,7,340,4.6,31.8,55.5,12.8,3,1,22-Jul-04,204,-0.1,high,5,100,3,66.6,0.04,0.07,84,84,3,2.79,2.9,2.72,2.85,1.9,26.7,92.5,82,33,50,0,0.062,1.81,0.23,17.3,0,0,0.008333333,2.144202436,2,2,1,1,1,1,1,1,1
BF,88,ext,NA,NA,3,NA,49.6,51.5,260,65.15,147.34,17,344,NA,NA,NA,NA,3,2,1-Jul-04,183,-0.012,low,1,100,2,38.5,1,1,84,177,3,1.87,1.69,2.2,0.85,18.4,32.8,30.4,5,43,10,30,NA,NA,0.72,2.3,0,0,0.016666667,0,2,3,4,4,4,4,4,4,4
BF,89,ext,NA,NA,4,NA,50.2,52,290,65.15,147.34,13,348,NA,NA,NA,NA,3,0,1-Jul-04,183,-0.091,low,1,100,3,68.8,1,1,85,85,2.1,1.92,1.73,2.45,0.6,27,37.2,26.6,0,44,12,30,NA,NA,1.35,6.3,0,0,0.066666667,0.353952772,0,1,4,4,4,4,4,4,4
BF,90,ext,NA,NA,6,51.1,38.4,52.6,235,65.15,147.34,2,345,4.3,NA,NA,NA,3,3,1-Jul-04,183,-0.166,low,1,100,1,47.1,1,1,107,107,1,1.71,1.58,2.04,0.9,21.7,26.2,26.3,0,70,2,17,NA,NA,0.67,1.6,0,0,0,0,2,2,3,3,3,3,3,3,3
BF,91,treeline,NA,NA,3,25.6,27.4,NA,819,65.32,146.72,4,145,4.2,25.8,60.4,13.8,2,0,23-Jun-04,175,-0.291,NA,NA,100,1,22.2,1,1,64,128,3,1.92,1.9,2,0.94,11.5,16.6,54.9,0,23,5,58,0.124,3.74,0.06,0.7,0,0,0,0,3,3,7,7,7,7,7,7,7
BF,92,treeline,NA,NA,3,13.2,26.4,17.9,688,65.29,146.72,7,275,3.8,51.8,39.4,8.8,4,0,23-Jun-04,175,-0.197,NA,NA,100,1,10.8,1,1,64,64,1,1.72,1.63,2,0.75,7.3,NA,NA,26,33,12,35,NA,NA,0.28,6.1,0,0,0.022222222,0.783478301,2,2,0,5,7,7,5,1,2
