Site,Core,Bag,Top_cm,Bottom_cm,Horizon1,Horizon2,SiteAge,BurnYear,AvgPithYear,Orientation,Date_processed,Date_sampled,Burned,Ice1,Ice2,Ice_cm,Macrofossil_bag,Roots,Color,Texture,BagID_A,BagID_B,Bag_mass_g,Wet_g,Dry_g,%SoilMoisture,Thickness_cm,Diameter_cm,Height_cm,Volume_cm3,BulkDensity_g/cm3,Comments
Apex Beta,1,3,76.8,80.2,M,NA,Mature,NA,1938,NA,1/18/16 16:24,4/9/15,No,Oim,NA,0.3,NA,NA,NA,NA,2334,2335,4.923,70.536,12.293,88.77,3.4,7.3,3.7,72.4,0.101806074,
Apex Beta,1,3,80.2,83.3,M,NA,Mature,NA,1938,NA,1/18/16 16:24,4/9/15,No,Oim,NA,0.2,NA,NA,NA,NA,2336,2337,4.935,64.511,13.019,86.43,3.1,7.3,3.7,66.0,0.122475644,
Apex Beta,1,3,83.3,86.7,M,NA,Mature,NA,1938,NA,1/18/16 16:25,4/9/15,No,Oim,NA,0.3,NA,NA,NA,NA,2338,2339,4.904,66.313,11.016,90.05,3.4,7.3,3.7,72.4,0.084428592,
Apex Beta,1,3,86.7,89.5,M,NA,Mature,NA,1938,Horizontal,1/18/16 16:25,4/9/15,No,Oil,NA,0.8,NA,NA,NA,NA,2340,2341,4.903,38.203,8.055,90.53,2.8,NA,NA,NA,NA,
Apex Beta,1,4,89.5,92.3,M,NA,Mature,NA,1938,NA,1/21/16 22:52,4/9/15,No,Oie,NA,1.5,NA,NA,NA,NA,2402,2401,5.022,45.723,9.856,88.12,2.8,NA,NA,NA,NA,
Apex Beta,1,4,92.3,95.4,M,NA,Mature,NA,1938,NA,1/21/16 22:59,4/9/15,No,Oif,NA,0.1,NA,NA,NA,NA,2404,2403,5.03,66.457,14.321,84.87,3.1,7.2,3.6,63.1,0.147223076,So many dead roots
Apex Beta,1,4,95.4,98.5,M,NA,Mature,NA,1938,NA,1/21/16 23:02,4/9/15,No,Oiv,NA,0.1,NA,NA,NA,NA,2406,2405,5.033,62.958,12.963,86.31,3.1,7.3,3.7,66.0,0.120142486,
Apex Beta,1,4,98.5,101.7,M,NA,Mature,NA,1938,NA,1/21/16 23:03,4/9/15,No,Oif,NA,0.1,NA,NA,NA,NA,2408,2407,5,68.764,15.781,83.09,3.2,7.3,3.6,65.8,0.163849403,
Apex Beta,1,4,101.7,104.9,M,NA,Mature,NA,1938,NA,1/21/16 23:05,4/9/15,No,Onv,NA,0,M293,NA,NA,NA,2410,2409,4.971,65.071,11.926,88.43,3.2,7.3,3.6,65.8,0.105701939,
Apex Beta,1,4,104.9,108.1,M,NA,Mature,NA,1938,NA,1/21/16 23:06,4/9/15,No,Onv,NA,0,NA,NA,NA,NA,2412,2411,4.976,66.825,11.232,89.89,3.2,7.3,3.7,68.1,0.091818857,
Apex Beta,1,4,108.1,111.2,M,M,Mature,NA,1938,Horizontal,1/21/16 23:08,4/9/15,No,Onv,NA,0,NA,NA,NA,NA,2414,2413,4.854,64.919,10.461,90.67,3.1,7.3,3.7,66.0,0.084948161,Transitions from sphagnum into sedge peat. 
Apex Beta,1,4,111.2,114.3,M,NA,Mature,NA,1938,NA,1/21/16 23:10,4/9/15,Yes,Onv,NA,0,M294,NA,NA,NA,2416,2415,4.962,64.055,12.041,88.02,3.1,7.1,3.7,64.7,0.109466823,
Apex Beta,1,4,114.3,118.2,M,NA,Mature,NA,1938,NA,1/21/16 23:12,4/9/15,Yes,Onv,NA,0,M295,NA,NA,NA,2418,2417,5.028,71.223,15.739,83.82,3.9,NA,NA,NA,NA,
Apex Beta,1,5,118.2,120.1,H,NA,Mature,NA,1938,NA,1/21/16 23:21,4/9/15,Yes,Onv,NA,0,M296,NA,NA,NA,2420,2419,5.02,35.075,11.412,78.73,1.9,NA,NA,NA,NA,
