,Site,Transect,Plot,FuelType,FuelLoad.kg.m2
258,GRM4,B,3,Mesic,13.80601852
259,GSI1,A,1,Mesic,5.32518519
260,GSI1,A,2,Mesic,6.74242424
261,GSI1,A,3,Mesic,4.37222222
262,GSI1,B,1,Mesic,3.95681818
263,GSI1,B,2,Mesic,10.22142857
264,GSI1,B,3,Mesic,3.765
265,GSI2,A,1,Mesic,15.981625
266,GSI2,A,2,Mesic,1.13675
267,GSI2,A,3,Mesic,3.3980625
268,GSI2,B,1,Mesic,1.53775
269,GSI2,B,2,Mesic,1.149
270,GSI2,B,3,Mesic,2.628
271,GSM1,A,1,Mesic,8.71
272,GSM1,A,2,Mesic,7.6
273,GSM1,A,3,Mesic,4.74
274,GSM1,B,1,Mesic,5.55555556
275,GSM1,B,2,Mesic,1.48238095
276,GSM1,B,3,Mesic,5.12142857
277,GSM3,A,1,Mesic,2.45025
278,GSM3,A,2,Mesic,1.66725
279,GSM3,A,3,Mesic,2.62725
280,GSM3,B,1,Mesic,1.47325
281,GSM3,B,2,Mesic,1.652
282,GSM3,B,3,Mesic,3.0533
283,GSM4,A,1,Mesic,10.35583333
284,GSM4,A,2,Mesic,3.35833333
285,GSM4,A,3,Mesic,3.3877551
286,GSM4,B,1,Mesic,3.01851852
287,GSM4,B,2,Mesic,3.70971429
288,GSM4,B,3,Mesic,6.633
289,GSM5,A,1,Mesic,0
290,GSM5,A,2,Mesic,13.09125
291,GSM5,A,3,Mesic,8.23288
292,GSM5,B,1,Mesic,0
293,GSM5,B,2,Mesic,8.23288
294,GSM5,B,3,Mesic,3.3745
295,LGI2,A,1,Mesic,6.04375
296,LGI2,A,2,Mesic,5.55238095
297,LGI2,A,3,Mesic,2.10666667
298,LGI2,B,1,Mesic,2.99962963
299,LGI2,B,2,Mesic,1.71733333
300,LGI2,B,3,Mesic,0
301,MDI4,A,1,Mesic,1.4
302,MDI4,A,2,Mesic,3.98945313
303,MDI4,A,3,Mesic,4.27592593
304,MDI4,B,1,Mesic,11.33275
305,MDI4,B,2,Mesic,3.19419643
306,MDI4,B,3,Mesic,9.75111111
307,MDI5,A,1,Mesic,5.88761905
308,MDI5,A,2,Mesic,6.37806122
309,MDI5,A,3,Mesic,7.4
310,MDI5,B,1,Mesic,3.61479592
311,MDI5,B,2,Mesic,4.27248677
312,MDI5,B,3,Mesic,7.93121693
313,MDM1,A,1,Mesic,2.89583333
314,MDM1,A,2,Mesic,8.27678571
315,MDM1,A,3,Mesic,7.17213832
316,MDM1,B,1,Mesic,13.44
317,MDM1,B,2,Mesic,4.88888889
318,MDM1,B,3,Mesic,6.35918367
319,UP4D,A,1,Mesic,3.7462963
320,UP4D,A,2,Mesic,5.1
321,UP4D,A,3,Mesic,4.38472222
322,UP4D,B,1,Mesic,3.58020833
323,UP4D,B,2,Mesic,6.63673469
324,UP4D,B,3,Mesic,4.66190476
325,WCM2,A,1,Mesic,3.96964286
326,WCM2,A,2,Mesic,10.13333333
327,WCM2,A,3,Mesic,3.86964286
328,WCM2,B,1,Mesic,3.54214286
329,WCM2,B,2,Mesic,5.03571429
330,WCM2,B,3,Mesic,10.23611111
331,WCM3,A,1,Mesic,8.12
332,WCM3,A,2,Mesic,3.94821429
333,WCM3,A,3,Mesic,5.38095238
334,WCM3,B,1,Mesic,10.04285714
335,WCM3,B,2,Mesic,8.8
336,WCM3,B,3,Mesic,7.65185185
337,BCEFM2,A,1,EvergreenLeaf,0.13175
338,BCEFM2,A,2,EvergreenLeaf,0
339,BCEFM2,A,3,EvergreenLeaf,0.05375
340,BCEFM2,B,1,EvergreenLeaf,0.1025425
341,BCEFM2,B,2,EvergreenLeaf,0.08175
342,BCEFM2,B,3,EvergreenLeaf,0.31225
343,BDM1,A,1,EvergreenLeaf,0.255
344,BDM1,A,2,EvergreenLeaf,0.0740525
345,BDM1,A,3,EvergreenLeaf,0.0256675
346,BDM1,B,1,EvergreenLeaf,0.04675
347,BDM1,B,2,EvergreenLeaf,0.09075
348,BDM1,B,3,EvergreenLeaf,0.0365075
349,BFY10,A,1,EvergreenLeaf,0.347
350,BFY10,A,2,EvergreenLeaf,0.055
351,BFY10,A,3,EvergreenLeaf,0.9385
352,BFY10,B,1,EvergreenLeaf,0
353,BFY10,B,2,EvergreenLeaf,0.75
354,BFY10,B,3,EvergreenLeaf,0.6255
355,BFY7,A,1,EvergreenLeaf,0.1636975
356,BFY7,A,2,EvergreenLeaf,0.015475
357,BFY7,A,3,EvergreenLeaf,0
358,BFY7,B,1,EvergreenLeaf,0.145755
359,BFY7,B,2,EvergreenLeaf,0
360,BFY7,B,3,EvergreenLeaf,0.34775
361,BFY8,A,1,EvergreenLeaf,0
362,BFY8,A,2,EvergreenLeaf,0
363,BFY8,A,3,EvergreenLeaf,0
364,BFY8,B,1,EvergreenLeaf,0
365,BFY8,B,2,EvergreenLeaf,0
366,BFY8,B,3,EvergreenLeaf,0.30075
367,BFY9,A,1,EvergreenLeaf,0
368,BFY9,A,2,EvergreenLeaf,0.01
369,BFY9,A,3,EvergreenLeaf,0
370,BFY9,B,1,EvergreenLeaf,0.018215
371,BFY9,B,2,EvergreenLeaf,0
372,BFY9,B,3,EvergreenLeaf,0.35475
373,DCY14,A,1,EvergreenLeaf,0.00848
374,DCY14,A,2,EvergreenLeaf,0.519
375,DCY14,A,3,EvergreenLeaf,0.0445
376,DCY14,B,1,EvergreenLeaf,0.087265
