Site,Crew,Core_number,Bag_number,Top_depth,Bottom_depth,Notes,Date,Creation_timestamp,Device::Device_name
Dalton,"sf, qd",1,6,45,48,,04/14/2015,04/14/2015 17:53:44,Shalane's iPad
Dalton,"sf, qd",1,7,48,74,,04/14/2015,04/14/2015 17:53:49,Shalane's iPad
Dalton,"sf, qd",2,1,0,7,,04/14/2015,04/14/2015 18:33:12,Shalane's iPad
Dalton,"sf, qd",2,2,7,18,,04/14/2015,04/14/2015 18:33:27,Shalane's iPad
Dalton,"sf, qd",2,3,18,40,,04/14/2015,04/14/2015 18:33:32,Shalane's iPad
Dalton,"sf, qd",2,4,40,65,,04/14/2015,04/14/2015 18:33:39,Shalane's iPad
Dalton,"sf, qd",3,1,0,16,,04/14/2015,04/14/2015 18:32:25,Shalane's iPad
Dalton,"sf, qd",3,2,16,28,,04/14/2015,04/14/2015 18:32:47,Shalane's iPad
Dalton,"sf, qd",3,3,28,50,,04/14/2015,04/14/2015 18:32:52,Shalane's iPad
Dalton,"sf, qd",4,1,0,12,,04/14/2015,04/14/2015 19:14:16,Shalane's iPad
Dalton,"sf, qd",4,2,12,22,,04/14/2015,04/14/2015 19:14:28,Shalane's iPad
Dalton,"sf, qd",4,3,22,25,,04/14/2015,04/14/2015 19:14:49,Shalane's iPad
Dalton,"sf, qd",4,5,25,37,,04/14/2015,04/14/2015 19:15:00,Shalane's iPad
Dalton,"sf, qd",4,6,37,55,,04/14/2015,04/14/2015 19:15:08,Shalane's iPad
DC33,"sf, qd",1,1,0,17,"loose organic, probably chared, litter.",04/16/2015,04/16/2015 09:33:20,Shalane's iPad
DC33,"sf, qd",1,2,17,34,18 transitioning to mineral with maybe some organic again at the end,04/16/2015,04/16/2015 09:35:37,Shalane's iPad
DC33,"sf, qd",1,3,34,42,,04/16/2015,04/16/2015 09:36:25,Shalane's iPad
DC33,"sf, qd",1,4,42,46,"gets crumbly fine after that, the crumblys not measured in bottom. ",04/16/2015,04/16/2015 09:36:36,Shalane's iPad
DC33,"sf, qd",2,1,0,13,tiny burned org top plus rocks.,04/16/2015,04/16/2015 10:09:49,Shalane's iPad
DC33,"sf, qd",2,2,13,27,,04/16/2015,04/16/2015 10:10:17,Shalane's iPad
DC33,"sf, qd",2,3,27,36,,04/16/2015,04/16/2015 10:10:25,Shalane's iPad
DC33,"sf, qd",2,4,36,38,,04/16/2015,04/16/2015 10:10:34,Shalane's iPad
DC33,"sf, qd",3,1,0,15,,04/16/2015,04/16/2015 10:40:39,Shalane's iPad
DC33,"sf, qd",3,2,15,27,rocks. organic to mineral transition.,04/16/2015,04/16/2015 10:40:47,Shalane's iPad
DC33,"sf, qd",3,3,27,33,,04/16/2015,04/16/2015 10:40:54,Shalane's iPad
DC47,"sf, qd",1,1,0,3,"just loose top layer,",04/14/2015,04/14/2015 12:30:16,Shalane's iPad
DC47,"sf, qd",1,2,3,22,,04/14/2015,04/14/2015 12:35:52,Shalane's iPad
DC47,"sf, qd",1,3,22,57,,04/14/2015,04/14/2015 12:36:10,Shalane's iPad
DC47,"sf, qd",1,4,57,71,tiny mineral intrusion at 68cm. cant get deeper,04/14/2015,04/14/2015 12:36:17,Shalane's iPad
DC47,"sf, qd",2,1,0,2,loose t only,04/14/2015,04/14/2015 13:28:49,Shalane's iPad
DC47,"sf, qd",2,2,2,10,,04/14/2015,04/14/2015 13:32:08,Shalane's iPad
DC47,"sf, qd",2,3,10,22,,04/14/2015,04/14/2015 13:32:42,Shalane's iPad
DC47,"sf, qd",2,4,22,31,ythere were cutting that we didnt realize were between this section and the next. could move all subsecquent depths up by 3,04/14/2015,04/14/2015 13:32:49,Shalane's iPad
DC47,"sf, qd",2,5,34,43,,04/14/2015,04/14/2015 13:33:06,Shalane's iPad
DC47,"sf, qd",2,6,43,57,,04/14/2015,04/14/2015 13:33:28,Shalane's iPad
DC47,"sf, qd",2,7,57,64,just ice,04/14/2015,04/14/2015 13:33:35,Shalane's iPad
DC47,"sf, qd",2,8,64,76,almost all ice fwith a tiny bit too f mineral,04/14/2015,04/14/2015 13:34:04,Shalane's iPad
DC47,"sf, qd",3,1,0,1,"between tussocks, no moss layer, just ice then organic. not counting ice",04/15/2015,04/15/2015 09:09:43,Shalane's iPad
DC47,"sf, qd",3,2,1,21,,04/15/2015,04/15/2015 09:13:57,Shalane's iPad
DC47,"sf, qd",3,3,21,56,first mineral transition,04/15/2015,04/15/2015 09:14:09,Shalane's iPad
DC47,"sf, qd",3,4,56,80,buried horizon/ starting to mix again. looks just just mineral on top side.,04/15/2015,04/15/2015 09:14:31,Shalane's iPad
DC47,"sf, qd",4,1,0,3,,04/15/2015,04/15/2015 09:48:08,Shalane's iPad
DC47,"sf, qd",4,2,3,19,,04/15/2015,04/15/2015 09:48:14,Shalane's iPad
DC47,"sf, qd",4,3,19,43,,04/15/2015,04/15/2015 09:48:19,Shalane's iPad
DC47,"sf, qd",4,4,43,69,,04/15/2015,04/15/2015 09:48:28,Shalane's iPad
DC47,"sf, qd",4,5,69,89,,04/15/2015,04/15/2015 09:48:36,Shalane's iPad
DC47,"sf, qd",5,1,0,2,,04/15/2015,04/15/2015 10:37:59,Shalane's iPad
DC47,"sf, qd",5,2,2,19,,04/15/2015,04/15/2015 10:38:13,Shalane's iPad
DC47,"sf, qd",5,3,19,76,,04/15/2015,04/15/2015 10:38:20,Shalane's iPad
DC47,"sf, qd",5,4,76,78,,04/15/2015,04/15/2015 10:38:27,Shalane's iPad
DC47,"sf, qd",5,5,78,88,,04/15/2015,04/15/2015 10:38:34,Shalane's iPad
