"fire_scar","fire_year","site","plot","tree.age","biomass.as","biomass.br","biomass.bp","biomass.bs","biomass.ws","biomass.unk.con","biomass","biomass.con","biomass.dec","density.as","density.br","density.bp","density.bs","density.ws","density.unk.con","density","study","cores_processed","postfire.age"
"2019BC005",2019,60,"B",69,9596.74834984227,1355.55208038404,0,139.863015713068,0,0,11092.1634459394,139.863015713068,10952.3004302263,0.25,0.05,0,0.25,0,0,0.55,"FiSL","1",3
"2019MA014",2019,152,"A",80,0,26495.0874678185,0,0,0,0,26495.0874678185,0,26495.0874678185,0,0.4,0,0,0,0,0.4,"FiSL","1",3
"2019MA014",2019,152,"B",80,0,14578.5881292053,0,0,0,0,14578.5881292053,0,14578.5881292053,0,0.3,0,0,0,0,0.3,"FiSL","1",3
"2019MA014",2019,152,"C",70,0,25834.1352859318,0,0,0,0,25834.1352859318,0,25834.1352859318,0,0.35,0,0,0,0,0.35,"FiSL","1",3
"2019MA014",2019,148,"A",92,21336.73602404,0,0,0,0,0,21336.73602404,0,21336.73602404,0.5,0,0,0,0,0,0.5,"FiSL","1",3
"2019MA014",2019,148,"B",91,11936.6178211053,0,0,0,0,0,11936.6178211053,0,11936.6178211053,0.55,0,0,0,0,0,0.55,"FiSL","1",3
"2019MA014",2019,148,"C",90,9483.96857687078,0,0,0,0,0,9483.96857687078,0,9483.96857687078,0.35,0,0,0,0,0,0.35,"FiSL","1",3
"2019MA014",2019,149,"A",81,0,26725.9986963289,0,0,0,0,26725.9986963289,0,26725.9986963289,0,0.7,0,0,0,0,0.7,"FiSL","1",3
"2019MA014",2019,149,"B",77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FiSL","1",3
"2019MA014",2019,149,"C",82,0,36587.0930603343,0,0,0,0,36587.0930603343,0,36587.0930603343,0,0.35,0,0,0,0,0.35,"FiSL","1",3
"2019MA014",2019,151,"A",82,13265.2793084118,0,0,0,0,0,13265.2793084118,0,13265.2793084118,0.35,0,0,0,0,0,0.35,"FiSL","1",3
"2019MA014",2019,151,"B",82,5943.72023186634,0,0,0,5600.40036712035,0,11544.1205989867,5600.40036712035,5943.72023186634,0.15,0,0,0,0.05,0,0.2,"FiSL","1",3
"2019MA014",2019,151,"C",71,1889.81337406421,0,0,0,0,0,1889.81337406421,0,1889.81337406421,0.1,0,0,0,0,0,0.1,"FiSL","1",3
"2019BC005",2019,61,"A",89,8615.40787148083,0,0,1205.46817683986,0,0,9820.87604832069,1205.46817683986,8615.40787148083,0.45,0,0,1.8,0,0,2.25,"FiSL","1",3
"2019BC005",2019,61,"B",80,14522.8239124365,0,0,416.925960861737,0,0,14939.7498732983,416.925960861737,14522.8239124365,0.35,0,0,0.9,0,0,1.25,"FiSL","1",3
"2019BC005",2019,61,"C",81,477.054587501331,0,0,170.335842974541,0,0,647.390430475872,170.335842974541,477.054587501331,0.05,0,0,0.55,0,0,0.6,"FiSL","1",3
"Baker",2015,101,"A",35,1723.27953671903,0,0,483.100693957969,0,0,2206.380230677,483.100693957969,1723.27953671903,0.3,0,0,0.8,0,0,1.1,"FiSL","1",7
"Baker",2015,101,"B",36,2020.78590110635,0,0,657.356970382076,0,0,2678.14287148842,657.356970382076,2020.78590110635,0.2,0,0,0.5,0,0,0.7,"FiSL","1",7
"Baker",2015,101,"C",43,1730.46037261022,0,0,527.24304970171,0,0,2257.70342231193,527.24304970171,1730.46037261022,0.1,0,0,0.2,0,0,0.3,"FiSL","1",7
"2019MA014",2019,153,"A",56,2094.08927023897,5088.64028152582,0,102.465805338434,2366.4001287414,0,9651.59548584463,2468.86593407984,7182.72955176479,0.05,0.1,0,0.05,0.05,0,0.25,"FiSL","1",3
"2019MA014",2019,153,"B",69,13616.8979139335,0,0,0,0,0,13616.8979139335,0,13616.8979139335,0.2,0,0,0,0,0,0.2,"FiSL","1",3
"2019MA014",2019,153,"C",91,2207.55106474242,0,0,1860.83895205219,0,0,4068.39001679462,1860.83895205219,2207.55106474242,0.05,0,0,0.1,0,0,0.15,"FiSL","1",3
"2019BC005",2019,64,"A",68,5720.56174540162,0,0,188.2296216028,0,0,5908.79136700442,188.2296216028,5720.56174540162,0.2,0,0,0.2,0,0,0.4,"FiSL","1",3
"2019BC005",2019,64,"B",87,4540.31731645039,0,0,1519.46034491123,0,0,6059.77766136162,1519.46034491123,4540.31731645039,0.15,0,0,0.3,0,0,0.45,"FiSL","1",3
"2019BC005",2019,64,"C",86,3498.51491377163,0,0,471.923791825293,0,0,3970.43870559693,471.923791825293,3498.51491377163,0.2,0,0,0.45,0,0,0.65,"FiSL","1",3
"Hess Creek",2019,12,"A",89,8238.5204169097,1907.80051573713,0,0,0,0,10146.3209326468,0,10146.3209326468,0.2,0.1,0,0,0,0,0.3,"FiSL","1",3
"Hess Creek",2019,12,"B",81,4522.53476262397,459.76971499768,0,0,0,0,4982.30447762165,0,4982.30447762165,0.2,0.05,0,0,0,0,0.25,"FiSL","1",3
